work_shift,type,refinery,origin_departure_date,origin_net_weight,destination_arrival_date,destination_net_weight,raw_row_number,missing_weight_flag,weight_difference,weight_difference_sign,duplicate_group_size,duplicate_flag,origin_calendar_year,origin_calendar_month,origin_calendar_day,destination_calendar_year,destination_calendar_month,destination_calendar_day,date_format_flag,date_label_order_flag
Day shift,VB,Shiraz,1399/02/03,25770,1399/02/04,25740,112,FALSE,-30,negative_raw_difference,1,FALSE,1399,2,3,1399,2,4,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/02/03,24890,1399/02/04,24820,113,FALSE,-70,negative_raw_difference,1,FALSE,1399,2,3,1399,2,4,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/02/03,25230,1399/02/04,25210,114,FALSE,-20,negative_raw_difference,1,FALSE,1399,2,3,1399,2,4,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/02/03,25470,1399/02/04,25430,115,FALSE,-40,negative_raw_difference,1,FALSE,1399,2,3,1399,2,4,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/02/04,24200,1399/02/04,24280,116,FALSE,80,positive_raw_difference,1,FALSE,1399,2,4,1399,2,4,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/02/03,24850,1399/02/04,24820,117,FALSE,-30,negative_raw_difference,1,FALSE,1399,2,3,1399,2,4,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/02/04,24170,1399/02/04,24120,118,FALSE,-50,negative_raw_difference,1,FALSE,1399,2,4,1399,2,4,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/02/04,25140,1399/02/05,25240,119,FALSE,100,positive_raw_difference,1,FALSE,1399,2,4,1399,2,5,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Day shift,VB,Shiraz,1399/02/04,24780,1399/02/05,24900,120,FALSE,120,positive_raw_difference,1,FALSE,1399,2,4,1399,2,5,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/02/05,23630,1399/02/05,23940,121,FALSE,310,positive_raw_difference,1,FALSE,1399,2,5,1399,2,5,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/02/05,25420,1399/02/05,25480,122,FALSE,60,positive_raw_difference,1,FALSE,1399,2,5,1399,2,5,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/02/05,24560,1399/02/05,24730,123,FALSE,170,positive_raw_difference,1,FALSE,1399,2,5,1399,2,5,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/02/05,24040,1399/02/05,24130,124,FALSE,90,positive_raw_difference,1,FALSE,1399,2,5,1399,2,5,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
Night shift,VB,Shiraz,1399/02/04,24470,1399/02/05,24730,125,FALSE,260,positive_raw_difference,1,FALSE,1399,2,4,1399,2,5,valid_yyyy_mm_dd_components,destination_label_after_or_equal_origin
