parent_gem_entity_id,parent,immediate_project_owner_gem_entity_id,immediate_project_owner,ownership_path_records
E100000125100,Zhejiang Yangshan Port Construction and Development Co Ltd,E100000004373,Zhejiang Petroleum & Chemical Co Ltd,8
E100000125730,"Finance Bureau of Dinghai District, Zhoushan City (State-owned Assets Supervision and Administration Office of the People's Government of Dinghai District, Zhoushan City)",E100000004373,Zhejiang Petroleum & Chemical Co Ltd,8
E100000125731,"Finance Bureau of Putuo District, Zhoushan City",E100000004373,Zhejiang Petroleum & Chemical Co Ltd,8
E100000125732,Daishan County Finance Bureau,E100000004373,Zhejiang Petroleum & Chemical Co Ltd,8
E100000125784,State-owned Assets Management Committee of Shengsi County,E100000004373,Zhejiang Petroleum & Chemical Co Ltd,8
E100000126055,Zhoushan State-owned Assets Supervision and Administration Commission,E100000004373,Zhejiang Petroleum & Chemical Co Ltd,8
E100000152472,Novatek PJSC,E100000152472,Novatek PJSC,8
E100001000031,Zhejiang Provincial People's Government State-owned Assets Supervision and Administration Commission,E100000004373,Zhejiang Petroleum & Chemical Co Ltd,8
E100001000032,Zhejiang Financial Development Co Ltd,E100000004373,Zhejiang Petroleum & Chemical Co Ltd,8
E100001000033,Zhejiang Provincial Department of Finance,E100000004373,Zhejiang Petroleum & Chemical Co Ltd,8
E100001000094,Government of Russia,E100000152472,Novatek PJSC,8
E100001000270,Federal Agency for State Property Management (Russia),E100000152472,Novatek PJSC,8
E100001000348,BlackRock Inc,E100000152472,Novatek PJSC,8
E100001010595,The Vanguard Group Inc,E100000152472,Novatek PJSC,8
E100001014312,Royal Bank of Canada,E100000000127,Pembina Pipeline Corp,8
E100001015054,MPLX LP,E100001015054,MPLX LP,8
E100001015587,small shareholder(s),E100000000127,Pembina Pipeline Corp,8
E100001015587,small shareholder(s),E100000152472,Novatek PJSC,8
E100001015833,Blackrock Advisors LLC,E100000152472,Novatek PJSC,8
E100002001974,member/employee owned,E100000152472,Novatek PJSC,8
E100000000746,Shell PLC,E100001014099,Shell Midstream Partners LP,7
E100000000771,Petoro AS,E100000000771,Petoro AS,7
E100000000839,Government of Qatar,E100000000846,QatarEnergy,7
E100000000846,QatarEnergy,E100000000846,QatarEnergy,7
E100000000879,TAIF JSC,E100000000865,SIBUR Holding PJSC,7
E100000001282,Phillips 66,E100001014526,DCP Midstream LLC,7
E100000001534,JPMorgan Chase & Co Corp,E100001015045,Santos Ltd,7
E100000123261,natural person(s),E100000000865,SIBUR Holding PJSC,7
E100000123261,natural person(s),E100001015045,Santos Ltd,7
E100000123261,natural person(s),E100001015850,Plains GP Holdings LP,7
E100000135826,Citigroup Inc,E100001015045,Santos Ltd,7
E100001000085,Government of Norway,E100000000771,Petoro AS,7
E100001000348,BlackRock Inc,E100001014526,DCP Midstream LLC,7
E100001000348,BlackRock Inc,E100001015054,MPLX LP,7
E100001010427,HSBC Custody Nominees (Australia) Ltd,E100001015045,Santos Ltd,7
E100001010428,JP Morgan Nominees Australia Pty Ltd,E100001015045,Santos Ltd,7
E100001010429,Citicorp Nominees Pty Ltd,E100001015045,Santos Ltd,7
E100001010595,The Vanguard Group Inc,E100001014526,DCP Midstream LLC,7
E100001010595,The Vanguard Group Inc,E100001015045,Santos Ltd,7
E100001010595,The Vanguard Group Inc,E100001015054,MPLX LP,7
E100001010596,State Street Corp,E100001014526,DCP Midstream LLC,7
E100001010596,State Street Corp,E100001014604,Magellan Midstream Partners LP,7
E100001010596,State Street Corp,E100001015054,MPLX LP,7
E100001010605,The Silk Road Fund Co Ltd,E100000000865,SIBUR Holding PJSC,7
E100001010998,EP Petroecuador,E100001010998,EP Petroecuador,7
E100001010999,Government of Ecuador,E100001010998,EP Petroecuador,7
E100001014455,China Petroleum & Chemical Corp,E100000000865,SIBUR Holding PJSC,7
E100001014681,Energy Income Partners LLC,E100001015850,Plains GP Holdings LP,7
E100001014866,Government of China,E100000000865,SIBUR Holding PJSC,7
E100001015045,Santos Ltd,E100001015045,Santos Ltd,7
E100001015587,small shareholder(s),E100001014099,Shell Midstream Partners LP,7
E100001015587,small shareholder(s),E100001014526,DCP Midstream LLC,7
E100001015587,small shareholder(s),E100001015054,MPLX LP,7
E100001015587,small shareholder(s),E100001015850,Plains GP Holdings LP,7
E100001015833,Blackrock Advisors LLC,E100001014526,DCP Midstream LLC,7
E100001015833,Blackrock Advisors LLC,E100001015054,MPLX LP,7
